id,Rings
90615,9.83746
90616,9.810269
90617,10.079804
90618,10.472826
90619,7.631804
90620,9.268719
90621,11.028187
90622,6.09503
90623,7.9621925
90624,11.454236
90625,12.471003
90626,6.190948
90627,10.488363
90628,13.458495
90629,7.4903564
90630,7.4065895
90631,12.719806
90632,5.736553
90633,9.6700325
90634,10.277006
90635,6.1254816
90636,7.3468785
90637,9.66281
90638,8.693423
90639,9.750862
90640,10.491308
90641,8.311583
90642,10.051083
90643,5.690365
90644,10.806269
90645,10.440631
90646,9.254793
90647,11.974375
90648,13.7671385
90649,14.059617
90650,9.973137
90651,9.041047
90652,8.490116
90653,12.101014
90654,6.284903
90655,8.192074
90656,10.715425
90657,8.27871
90658,6.9209714
90659,9.34362
90660,7.2082696
90661,8.259641
90662,7.3445435
90663,9.2625675
90664,7.610214
90665,13.511061
90666,9.037384
90667,5.688845
90668,10.204954
90669,9.93263
90670,9.464084
90671,10.623336
90672,8.897069
90673,12.61503
90674,7.512921
90675,5.4400496
90676,11.97354
90677,11.421136
90678,4.6400027
90679,9.653106
90680,9.822432
90681,10.269515
90682,15.652425
90683,10.616524
90684,11.609501
90685,10.919198
90686,7.1790943
90687,10.301889
90688,9.154235
90689,10.489511
90690,18.230381
90691,8.082822
90692,10.747235
90693,12.3745575
90694,9.239332
90695,8.723981
90696,10.0578575
90697,7.4506674
90698,9.599814
90699,5.166069
90700,11.039727
90701,10.446735
90702,10.148199
90703,12.266293
90704,4.984501
90705,11.309373
90706,11.490174
90707,6.154424
90708,8.478965
90709,9.334205
90710,9.614327
90711,9.328069
90712,8.884273
90713,15.247341
90714,7.112121
90715,8.649625
90716,7.4312963
90717,9.457144
90718,4.320807
90719,5.600352
90720,11.091449
90721,9.170272
90722,9.112263
90723,7.878186
90724,9.846066
90725,6.7908278
90726,7.5604744
90727,8.585385
90728,10.571102
90729,10.451846
90730,10.161582
90731,5.675913
90732,7.849155
90733,11.03575
90734,9.058122
90735,7.8820095
90736,7.598669
90737,5.746835
90738,7.0149717
90739,15.602429
90740,10.551581
90741,5.58741
90742,9.367928
90743,12.707835
90744,7.1304083
90745,8.666512
90746,8.106508
90747,4.289012
90748,14.418862
90749,9.435191
90750,4.109632
90751,7.150694
90752,8.401388
90753,8.331931
90754,9.168422
90755,8.51051
90756,9.024152
90757,11.790866
90758,8.847649
